user_alias,event_type,created_at
usr0,PushEvent,2024-01-10T22:42:30Z
usr0,PushEvent,2024-01-10T22:26:44Z
usr0,PushEvent,2024-01-10T22:16:02Z
usr0,PushEvent,2024-01-10T22:14:41Z
usr0,PushEvent,2024-01-10T22:04:43Z
usr0,PushEvent,2024-01-10T22:02:54Z
usr0,PushEvent,2024-01-10T21:58:13Z
usr0,CreateEvent,2024-01-10T21:05:14Z
usr0,CreateEvent,2024-01-10T21:02:20Z
usr0,CreateEvent,2023-12-21T16:58:42Z
usr0,CreateEvent,2023-12-21T16:58:00Z
usr0,CreateEvent,2023-12-21T16:57:32Z
usr0,CreateEvent,2023-12-21T16:56:09Z
usr0,PushEvent,2023-12-17T16:35:50Z
usr0,PushEvent,2023-12-17T13:58:11Z
usr0,PushEvent,2023-12-17T13:57:20Z
usr0,MemberEvent,2023-11-23T13:32:11Z
usr0,MemberEvent,2023-11-23T13:32:05Z
usr0,PushEvent,2023-11-23T07:27:20Z
usr0,PushEvent,2023-11-23T07:25:12Z
usr0,CreateEvent,2023-11-23T07:23:24Z
usr0,CreateEvent,2023-11-23T07:22:10Z
usr0,CreateEvent,2023-11-23T07:21:31Z
usr0,CreateEvent,2023-11-23T07:19:21Z
usr0,CreateEvent,2023-11-19T05:46:52Z
usr0,CreateEvent,2023-11-19T05:46:13Z
usr0,CreateEvent,2023-11-19T05:45:27Z
usr0,CreateEvent,2023-11-19T05:44:34Z
usr0,PushEvent,2023-11-03T19:51:34Z
usr0,CreateEvent,2023-11-03T19:49:05Z
usr0,CreateEvent,2023-11-03T19:48:32Z
usr0,CreateEvent,2023-11-03T19:42:31Z
usr0,CreateEvent,2023-11-03T19:37:55Z
usr1,PushEvent,2023-10-31T17:57:39Z
usr1,CreateEvent,2023-10-30T18:13:26Z
usr1,CreateEvent,2023-10-30T17:53:32Z
usr2,CreateEvent,2024-01-08T17:29:08Z
usr2,CreateEvent,2024-01-08T17:27:38Z
usr2,CreateEvent,2024-01-03T18:32:51Z
usr2,CreateEvent,2024-01-03T18:31:50Z
usr2,CreateEvent,2024-01-03T17:39:45Z
usr2,CreateEvent,2024-01-03T17:38:32Z
usr2,PushEvent,2023-12-25T15:15:56Z
usr2,CreateEvent,2023-12-25T15:00:55Z
usr2,PushEvent,2023-12-24T05:46:09Z
usr2,PushEvent,2023-12-24T05:45:20Z
usr2,CreateEvent,2023-12-23T20:06:30Z
usr2,CreateEvent,2023-12-23T19:49:43Z
usr2,CreateEvent,2023-12-23T19:03:50Z
usr2,CreateEvent,2023-12-23T18:37:18Z
usr2,CreateEvent,2023-12-23T17:44:36Z
usr2,CreateEvent,2023-12-23T17:40:42Z
usr2,CreateEvent,2023-12-23T17:37:14Z
usr2,CreateEvent,2023-12-23T17:33:36Z
usr2,CreateEvent,2023-12-16T15:54:08Z
usr2,CreateEvent,2023-12-16T15:53:10Z
usr2,CreateEvent,2023-12-14T15:24:02Z
usr2,CreateEvent,2023-12-10T07:58:20Z
usr2,CreateEvent,2023-11-30T16:32:02Z
usr2,CreateEvent,2023-11-30T16:30:45Z
usr2,CreateEvent,2023-11-22T15:45:12Z
usr2,CreateEvent,2023-11-22T15:18:56Z
usr2,CreateEvent,2023-11-22T15:18:00Z
usr2,CreateEvent,2023-11-22T15:10:06Z
usr2,MemberEvent,2023-11-11T15:52:42Z
usr2,CreateEvent,2023-11-11T15:29:00Z
usr2,CreateEvent,2023-11-11T15:28:00Z
usr2,PushEvent,2023-10-23T14:47:36Z
usr2,CommitCommentEvent,2023-10-23T14:45:03Z
usr2,PushEvent,2023-10-23T14:44:25Z
usr2,PushEvent,2023-10-19T15:39:55Z
usr2,PushEvent,2023-10-19T15:38:45Z
usr2,PushEvent,2023-10-19T15:37:20Z
usr2,PushEvent,2023-10-14T19:11:51Z
usr2,PushEvent,2023-10-14T19:10:28Z
usr2,WatchEvent,2023-10-14T14:58:00Z
usr3,None,None
usr4,None,None
usr5,WatchEvent,2024-01-11T13:04:19Z
usr5,PushEvent,2024-01-06T03:48:18Z
usr5,PushEvent,2024-01-02T16:43:32Z
usr5,CreateEvent,2023-12-28T09:35:34Z
usr5,CreateEvent,2023-12-28T05:03:51Z
usr5,IssuesEvent,2023-11-26T03:18:06Z
usr5,CreateEvent,2023-10-31T09:55:03Z
usr5,CreateEvent,2023-10-31T09:48:24Z
usr5,PushEvent,2023-10-22T10:41:56Z
usr5,PushEvent,2023-10-22T10:36:27Z
usr5,CreateEvent,2023-10-21T06:27:13Z
usr5,CreateEvent,2023-10-21T06:24:06Z
