user_alias,event_type,created_at
usr1,PushEvent,2023-10-31T17:57:39Z
usr1,CreateEvent,2023-10-30T18:13:26Z
usr1,CreateEvent,2023-10-30T17:53:32Z
usr2,CreateEvent,2024-01-08T17:29:08Z
usr2,CreateEvent,2024-01-08T17:27:38Z
usr2,CreateEvent,2024-01-03T18:32:51Z
usr2,CreateEvent,2024-01-03T18:31:50Z
usr2,CreateEvent,2024-01-03T17:39:45Z
usr2,CreateEvent,2024-01-03T17:38:32Z
usr2,PushEvent,2023-12-25T15:15:56Z
usr2,CreateEvent,2023-12-25T15:00:55Z
usr2,PushEvent,2023-12-24T05:46:09Z
usr2,PushEvent,2023-12-24T05:45:20Z
usr2,CreateEvent,2023-12-23T20:06:30Z
usr2,CreateEvent,2023-12-23T19:49:43Z
usr2,CreateEvent,2023-12-23T19:03:50Z
usr2,CreateEvent,2023-12-23T18:37:18Z
usr2,CreateEvent,2023-12-23T17:44:36Z
usr2,CreateEvent,2023-12-23T17:40:42Z
usr2,CreateEvent,2023-12-23T17:37:14Z
usr2,CreateEvent,2023-12-23T17:33:36Z
usr2,CreateEvent,2023-12-16T15:54:08Z
usr2,CreateEvent,2023-12-16T15:53:10Z
usr2,CreateEvent,2023-12-14T15:24:02Z
usr2,CreateEvent,2023-12-10T07:58:20Z
usr2,CreateEvent,2023-11-30T16:32:02Z
usr2,CreateEvent,2023-11-30T16:30:45Z
usr2,CreateEvent,2023-11-22T15:45:12Z
usr2,CreateEvent,2023-11-22T15:18:56Z
usr2,CreateEvent,2023-11-22T15:18:00Z
usr2,CreateEvent,2023-11-22T15:10:06Z
usr2,MemberEvent,2023-11-11T15:52:42Z
usr2,CreateEvent,2023-11-11T15:29:00Z
usr2,CreateEvent,2023-11-11T15:28:00Z
usr2,PushEvent,2023-10-23T14:47:36Z
usr2,CommitCommentEvent,2023-10-23T14:45:03Z
usr2,PushEvent,2023-10-23T14:44:25Z
usr2,PushEvent,2023-10-19T15:39:55Z
usr2,PushEvent,2023-10-19T15:38:45Z
usr2,PushEvent,2023-10-19T15:37:20Z
usr2,PushEvent,2023-10-14T19:11:51Z
usr2,PushEvent,2023-10-14T19:10:28Z
usr2,WatchEvent,2023-10-14T14:58:00Z
usr4,None,None
